时间,负荷值
1312,225.543
1313,218.674
1314,210.252
1315,215.696
1316,209.962
1317,205.415
1318,195.622
1319,181.691
1320,178.445
1321,183.673
1322,177.74
1323,167.333
1324,163.037
1325,165.427
1326,161.079
1327,176.747
1328,187.135
1329,202.133
1330,206.716
1331,196.327
1332,181.265
1333,169.389
1334,156.119
1335,166.343
1336,177.164
1337,185.784
1338,192.31
1339,198.643
1340,187.695
1341,181.57
1342,173.734
1343,159.33
1344,160.658
1345,157.881
1346,164.494
1347,153.617
1348,155.063
1349,157.755
1350,153.793
1351,168.314
1352,177.727
1353,200.069
1354,206.715
1355,197.136
1356,183.737
1357,161.586
1358,163.936
1359,175.873
1360,182.585
1361,188.306
1362,186.413
1363,191.484
1364,197.971
1365,183.43
1366,183.625
1367,185.538
1368,174.139
1369,185.588
1370,165.392
1371,162.018
1372,156.445
1373,164.27
1374,168.97
1375,193.309
1376,217.495
1377,235.889
1378,250.336
1379,238.104
1380,223.178
1381,192.674
1382,185.45
1383,208.134
1384,215.283
1385,211.587
1386,206.991
1387,215.087
1388,191.777
1389,184.336
1390,186.102
1391,181.545
1392,172.042
1393,175.553
1394,181.787
1395,173.941
1396,166.556
1397,183.063
1398,185.744
1399,199.208
1400,201.562
1401,237.486
1402,259.874
1403,257.882
1404,253.812
1405,237.282
1406,211.702
1407,205.714
1408,202.048
1409,197.327
1410,193.898
1411,193.686
1412,194.423
1413,191.448
1414,180.373
1415,175.217
1416,177.541
1417,184.586
1418,177.318
1419,181.697
1420,175.649
1421,172.469
1422,173.841
1423,178.2
1424,197.126
1425,207.758
1426,202.742
1427,198.869
1428,190.213
1429,170.956
1430,179.115
1431,190.548
1432,212.182
1433,236.35
1434,239.194
1435,248.759
1436,238.673
1437,230.317
1438,213.646
1439,195.913
1440,190.426
1441,194.3
1442,185.738
1443,177.071
1444,163.265
1445,174.481
1446,173.012
1447,182.637
1448,187.713
1449,208.366
1450,202.262
1451,190.249
1452,187.445
1453,162.799
1454,157.11
1455,175.338
1456,177.1888147
1457,178.901
1458,177.516
1459,184.149
1460,192.098
1461,182.105
1462,180.234
1463,167.329
1464,169.626
1465,165.481
1466,159.059
1467,154.482
1468,159.062
1469,158.937
1470,163.267
1471,175.188
1472,184.414
1473,212.454
1474,213.501
1475,199.493
1476,189.066
1477,165.321
1478,157.933
1479,177.596
1480,174.598
1481,186.697
1482,179.658
1483,185.93
1484,212.236
1485,211.446
1486,177.589
1487,193.4
1488,183.67
1489,182.971
1490,194.017
1491,189.515
1492,177.221
1493,176.836
1494,168.15
1495,162.051
1496,165.4
1497,189.664
1498,196.425
1499,197.614
1500,197.074
1501,180.57
1502,183.429
1503,194.109
1504,192.467
1505,199.199
1506,194.294
1507,234.669
1508,228.922
1509,217.854
1510,206.334
1511,192.942
1512,191.334
1513,193.467
1514,203.78
1515,198.606
1516,189.371
1517,190.822
1518,194.133
1519,214.28
1520,211.003
1521,225.439
1522,217.187
1523,198.253
1524,181.813
1525,161.314
1526,155.531
1527,171.282
1528,196.18
1529,207.703
1530,211.532
1531,236.493
1532,244.999
1533,232.459
1534,214.466
1535,197.091
1536,199.729
1537,208.285
1538,213.028
1539,193.141
1540,194.653
1541,189.558
1542,193.419
1543,215.442
1544,216.535
1545,210.418
1546,210.278
1547,210.35
1548,208.127
1549,170.05
1550,162.555
1551,193.975
1552,212.189
1553,227.081
1554,233.325
1555,240.334
1556,244.973
1557,233.016
1558,227.534
1559,204.393
1560,203.683
1561,213.774
1562,210.613
1563,203.481
1564,204.356
1565,196.257
1566,199.568
1567,228.53
1568,230.294
1569,236.235
1570,246.576
1571,207.482
1572,223.254
1573,200.708
1574,207.08
1575,217.879
1576,198.91
1577,198.044
1578,201.193
1579,210.349
1580,215.207
1581,205.323
1582,203.657
1583,189.626
1584,180.87
1585,187.081
1586,191.509
1587,182.271
1588,179.881
1589,173.803
1590,170.377
1591,201.035
1592,194.653
1593,222.097
1594,203.426
1595,204.617
1596,201.3
1597,177.927
1598,168.268
1599,184.034
1600,188.688
1601,186.609
1602,248.955
1603,251.159
1604,251.225
1605,239.234
1606,226.821
1607,212.347
1608,204.591
1609,208.414
1610,208.349
1611,201.055
1612,195.329
1613,206.557
1614,200.649
1615,230.575
1616,230.208
1617,237.375
1618,224.737
1619,208.788
1620,210.843
1621,176.352
1622,188.312
1623,223.395
1624,226.431
1625,230.863
1626,244.224
1627,200.08
1628,210.518
1629,204.906
1630,193.051
1631,180.396
1632,183.331
1633,185.313
1634,190.284
1635,175.725
1636,178.276
1637,176.95
1638,177.972
1639,185.56
1640,205.831
1641,232.755
1642,215.853
1643,219.991
1644,203.857
1645,180.343
1646,183.49
1647,197.226
1648,213.359
1649,224.229
1650,232.407
1651,244.327
1652,234.438
1653,221.953
1654,226.468
1655,204.554
1656,206.932
1657,210.915
1658,205.298
1659,197.928
1660,194.292
1661,187.89
1662,191.971
1663,184.876
1664,211.499
1665,234.684
1666,227.281
1667,206.669
1668,191.473
1669,180.965
1670,185.468
1671,199.613
1672,200.152
1673,217.937
1674,227.357
1675,232.383
1676,249.864
1677,235.38
1678,227.509
1679,213.34
1680,219.027
1681,228.73
1682,221.612
1683,219.8
1684,217.361
1685,216.724
1686,218.622
1687,232.357
1688,242.158
1689,253.167
1690,302.12
1691,323.198
1692,326.9
1693,297.303
1694,242.401
1695,243.35
1696,244.516
1697,239.229
1698,228.661
1699,236.396
1700,241.899
1701,233.364
1702,244.428
1703,246.211
1704,242.538
1705,246.278
1706,236.348
1707,235.914
1708,230.956
1709,229.271
1710,225.907
1711,243.816
1712,237.835
1713,273.738
1714,297.418
1715,330.157
1716,253.543
1717,223.966
1718,219.21
1719,234.021
1720,241.972
1721,301.627
1722,242.368
1723,243.172
1724,251.55
1725,239.413
1726,228.176
1727,228.381
1728,219.179
1729,230.207
1730,228.118
1731,219.664
1732,218.59
1733,212.292
1734,218.564
1735,234.364
1736,237.037
1737,234.489
1738,238.891
1739,234.388
1740,235.562
1741,213.481
1742,209.578
1743,211.544
1744,216.103
1745,222.909
1746,209.97
1747,225.968
1748,251.88
1749,234.456
1750,232.641
1751,218.493
1752,221.663
1753,232.172
1754,236.259
1755,220.614
1756,182.486
1757,173.076
1758,179.406
1759,217.644
1760,221.367
1761,250.828
1762,262.234
1763,259.251
1764,264.502
1765,242.324
1766,233.744
1767,256.866
1768,250.058
1769,259.302
1770,251.288
1771,254.219
1772,276.292
1773,249.243
1774,252.672
1775,239.46
1776,223.643
1777,236.142
1778,235.353
1779,232.172
1780,225.288
1781,223.942
1782,213.289
1783,252.724
1784,230.965
1785,215.299
1786,234.366
1787,212.964
1788,211.329
1789,182.9
1790,170.462
1791,182.158
1792,187.596
1793,194.723
1794,208.185
1795,231.903
1796,234.052
1797,238.646
1798,227.096
1799,221.516
1800,215.823
1801,224.358
1802,221.505
1803,213.649
1804,208.031
1805,203.002
1806,208.738
1807,226.57
1808,219.076
1809,225.027
1810,219.235
1811,213.749
1812,205.047
1813,169.29
1814,178.457
1815,200.237
1816,205.48
1817,221.67
1818,232.024
1819,228.606
1820,252.454
1821,231.332
1822,232.33
1823,219.603
1824,214.961
1825,203.975
1826,199.805
1827,199.165
1828,188.58
1829,188.316
1830,190.23
1831,205.339
1832,203.072
1833,221.535
1834,243.593
1835,236.739
1836,244.607
1837,227.245
1838,218.456
1839,227.343
1840,246.141
1841,234.972
1842,239.498
1843,232.16
1844,232.969
1845,224.532
1846,216.495
1847,200.727
1848,193.321
1849,203.581
1850,195.944
1851,178.521
1852,180.753
1853,187.581
1854,204.018
1855,217.405
1856,211.152
1857,225.101
1858,232.322
1859,215.247
1860,242.649
1861,233.454
1862,216.233
1863,242.586
1864,242.764
1865,243.471
1866,242.823
1867,245.796
1868,256.202
1869,246.371
1870,236.849
1871,207.793
1872,204.83
1873,217.536
1874,218.995
1875,209.136
1876,203.413
1877,208.299
1878,209.693
1879,222.877
1880,221.094
1881,239.415
1882,258.498
1883,257.322
1884,257.878
1885,240.696
1886,245.562
1887,264.469
1888,263.343
1889,254.796
1890,238.754
1891,238.06
1892,242.323
1893,221.847
1894,214.95
1895,205.074
1896,198.918
1897,205.77
1898,198.551
1899,200.688
1900,193.627
1901,190.784
1902,195.003
1903,221.119
1904,227.177
1905,248.609
1906,255.628
1907,238.402
1908,231.602
1909,198.862
1910,184.764
1911,209.008
1912,203.244
1913,220.95
1914,221.204
1915,237.133
1916,250.108
1917,239.655
1918,234.215
1919,212.834
1920,209.862
1921,212.664
1922,214.827
1923,210.512
1924,204.079
1925,199.571
1926,206.912
1927,244.113
1928,231.339
1929,220.921
1930,245.146
1931,226.828
1932,218.535
1933,198.026
1934,191.171
1935,234.785
1936,237.535
1937,227.293
1938,247.99
1939,246.435
1940,256.892
1941,239.382
1942,224.276
1943,208.34
1944,204.996
1945,217.147
1946,200.154
1947,196.582
1948,189.662
1949,190.649
1950,200.681
1951,236.415
1952,230.742
1953,229.851
1954,223.942
1955,165.087
1956,206.218
1957,182.22
1958,177.369
1959,197.7
1960,202.544
1961,227.354
1962,205.162
1963,236.656
1964,262.635
1965,239.028
1966,232.478
1967,221.489
1968,208.446
1969,222.653
1970,189.403
1971,180.967
1972,189.831
1973,184.95
1974,215.335
1975,233.276
1976,218.89
1977,222.069
1978,219.658
1979,194.812
1980,195.552
1981,166.884
1982,172.1
1983,197.656
1984,201.173
1985,210.089
1986,213.216
1987,215.395
1988,252.088
1989,233.594
1990,245.555
1991,233.948
1992,224.475
1993,225.299
1994,225.408
1995,212.249
1996,193.293
1997,179.54
1998,173.542
1999,208.704
2000,215.903
2001,208.837
2002,192.865
2003,184.849
2004,172.797
2005,153.21
2006,151.581
2007,173.304
2008,187.496
2009,202.131
2010,222.008
2011,226.92
2012,252.153
2013,233.239
2014,221.56
2015,206.185
2016,209.331
2017,216.263
2018,207.3
2019,182.033
2020,184.995
2021,192.717
2022,190.799
2023,229.623
2024,232.786
2025,233.804
2026,228.079
2027,214.776
2028,213.566
2029,183.072
2030,178.165
2031,199.854
2032,191.269
2033,207.489
2034,225.855
2035,222.26
2036,239.656
2037,215.178
2038,203.289
2039,180.655
2040,175.804
2041,196.646
2042,204.916
2043,199.208
2044,195.019
2045,197.826
2046,198.913
2047,238.544
2048,238.03
2049,238.763
2050,233.078
2051,144.662
2052,136.057
2053,206.969
2054,204.944
2055,219.177
2056,224.645
2057,239.987
2058,233.338
2059,228.41
2060,246.025
2061,232.452
2062,216.393
2063,204.536
2064,207.721
2065,219.577
2066,217.917
2067,207.882
2068,203.726
2069,197.622
2070,205.047
2071,238.837
2072,228.969
2073,235.978
2074,200.099
2075,209.449
2076,206.727
2077,184.432
2078,173.461
2079,207.702
2080,213.525
2081,225.588
2082,235.749
2083,218.468
2084,226.469
2085,214.043
2086,203.736
2087,195.434
2088,186.567
2089,183.616
2090,177.823
2091,189.779
2092,177.855
2093,170.495
2094,158.896
2095,195.452
2096,211.538
2097,201.768
2098,203.417
2099,195.959
2100,221.681
2101,183.298
2102,171.255
2103,215.568
2104,221.545
2105,224.255
2106,221.259
2107,222.888
2108,235.563
2109,208.553
2110,202.162
2111,185.236
2112,182.177
2113,202.757
2114,195.795
2115,187.663
2116,182.232
2117,176.236
2118,177.149
2119,224.062
2120,226.425
2121,225.873
2122,218.869
2123,214.521
2124,205.088
2125,187.829
2126,175.804
2127,204.934
2128,219.832
2129,228.274
2130,229.566
2131,220.129
2132,244.659
2133,236.193
2134,219.535
2135,201.299
2136,197.786
2137,207.818
2138,206.835
